iter	Passed	Remaining
607	12164	17847
608	12182	17823
609	12200	17800
610	12217	17776
611	12234	17751
612	12251	17728
613	12269	17704
614	12286	17680
615	12304	17657
616	12322	17634
617	12341	17613
