property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km
0,1,2.0,4.0,4.0,4.0,17.0,5800000000.0,69.0,1,1,1,1,3.24,37.405,9.768333841582272,0.1157914390670293,62.0,2.286844519260672,10.0,0.3188662161381582,8.0,0.2394915872667279,10.0,3.627993202623984,0.0,0.1667729618397612,24.0,5.088364417881627
0,1,4.0,6.0,6.0,4.0,35.0,19500000000.0,115.0,1,1,1,1,2.17,32.947,4.298963761260498,0.2527247135044929,122.0,1.0500303441288568,52.0,0.5151212842325512,17.0,0.319759599885186,47.0,1.305698906032591,9.0,0.1805797961384505,34.0,4.496492678876567
0,1,1.0,2.0,5.0,4.358898943540674,13.07669683062202,3690000000.0,57.0,1,1,1,1,3.89,29.851,4.197175831803325,0.3071398387790532,100.0,0.9025433835146324,45.0,0.3042465404346525,13.0,0.945192911247097,45.0,1.6409167307363564,7.0,0.4409800031563,36.0,3.660998682119959
0,1,4.0,4.0,3.5,4.1,10.5,8300000000.000001,45.0,0,0,0,0,2.17,32.947,3.526954400701507,0.1175141904538145,128.0,0.1697385585509312,52.0,0.4514166541448588,18.0,0.7759415491050107,56.0,2.3497406593452834,6.0,0.1136563562267956,32.0,3.4075937654659247
0,1,1.0,2.0,3.0,4.0,8.0,1168000000.0,32.0,0,0,0,0,8.06,20.851,11.965357134611564,0.0886766137030516,40.0,0.9347128896142194,6.0,1.2938540289298055,6.0,0.8001554762247344,10.0,5.003439779735623,0.0,0.2219927776915887,19.0,5.088364417881627
0,1,3.0,2.0,4.0,5.6,5.3,5470000000.0,30.0,1,1,0,0,2.86,46.242,5.749428887701497,0.2903348367280776,173.0,0.7099525088779358,69.0,0.5050719831628644,35.0,0.8981569355501641,32.0,1.8476913675845403,3.0,0.216689911447672,35.0,5.088364417881627
0,1,2.0,3.0,4.0,5.1,13.5,5100000000.0,62.0,1,1,1,1,3.95,18.384,10.828062156041296,0.6745183229066298,66.0,1.0486462759276776,6.0,1.687358014804381,4.0,1.9791072888229329,18.0,1.5103287665399954,1.0,0.1039381573875562,14.0,5.088364417881627
0,1,4.0,6.0,8.0,4.0,20.0,9900000000.0,80.0,1,1,1,1,3.46,33.895,9.585622090781657,0.4742510324456006,69.0,1.0436447950421832,12.0,1.0315280579620845,8.0,0.3460661177468943,23.0,0.6215989205018988,1.0,0.1424603741702516,39.0,5.088364417881627
0,1,5.0,10.0,5.0,4.0,19.0,19800000000.0,75.0,0,0,0,0,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747
0,1,3.0,4.0,3.0,3.958114029012639,11.874342087037917,4200000000.0,47.0,1,1,1,0,3.24,37.405,9.768333841582272,0.1157914390670293,62.0,2.286844519260672,10.0,0.3188662161381582,8.0,0.2394915872667279,10.0,3.627993202623984,0.0,0.1667729618397612,24.0,5.088364417881627
0,1,5.0,4.0,5.5,3.8297084310253524,11.489125293076057,7900000000.0,44.0,0,0,0,0,3.23,34.52,7.067045022908887,0.964922530872876,59.0,1.1287953025345878,17.0,0.5448243369580358,5.0,0.9025137244840112,8.0,0.7958655282815558,6.0,0.0269244935107706,44.0,5.088364417881627
0,1,1.0,1.0,12.0,11.0,17.0,36000000000.0,190.0,0,0,0,0,1.86,40.663,4.231028806562571,0.3317810119206177,215.0,0.4632190637975396,86.0,0.6901490873327818,52.0,0.2330351162971763,57.0,0.8799376118924314,8.0,0.0942559268532896,40.0,3.9043122754164408
0,0,1.0,2.0,2.5,4.34,12.69,3050000000.0,55.0,0,1,0,0,6.34,7.287,6.208615519784486,0.687918037240607,42.0,1.339038150327999,6.0,1.2067821424821672,6.0,1.492405587651374,22.0,1.8110898227726395,6.0,0.8045880451020336,8.0,1.8604965702221148
0,1,3.0,3.0,7.0,6.0,8.6,4750000000.0,52.0,1,1,1,1,14.9,8.433,10.194993899682224,1.0725217992774458,35.0,1.9574618614988168,8.0,1.0929918867880024,5.0,1.1167526493767772,5.0,3.756311726045401,0.0,0.3797831245874638,20.0,5.088364417881627
0,1,3.0,4.0,6.0,4.0,14.0,7380000000.0,56.0,1,1,1,1,3.46,33.895,9.585622090781657,0.4742510324456006,69.0,1.0436447950421832,12.0,1.0315280579620845,8.0,0.3460661177468943,23.0,0.6215989205018988,1.0,0.1424603741702516,39.0,5.088364417881627
0,1,2.0,3.0,6.0,4.0,19.5,6400000000.0,78.0,0,0,1,1,16.01,13.469,9.34716233130603,0.1521961750599395,23.0,1.4315280024821837,8.0,0.5794223263858904,3.0,1.240924772029185,6.0,3.386619312596045,0.0,0.0454686379845107,14.0,5.088364417881627
0,1,2.0,2.0,6.0,4.0,10.0,3600000000.0,40.0,1,1,1,1,14.59,12.277,9.146198074303156,0.0,35.0,0.97403922184266,7.0,1.4090501628831675,5.0,1.8648809982417227,6.0,2.814281756020097,3.0,0.0858125889844612,20.0,5.088364417881627
0,0,2.0,2.0,10.0,3.6514837167011076,10.954451150103322,13300000000.0,40.0,0,0,0,0,0.99,68.299,1.924714076598064,0.2282182092462347,188.0,0.3766118261101341,86.0,0.2001158664426361,44.0,0.1996627877637552,117.0,0.2994541375622043,19.0,0.057193193732501,78.0,1.5101362261367306
0,1,5.0,3.0,4.0,4.0,9.0,3190000000.0,38.0,1,1,1,1,3.37,38.239,5.116720314046692,0.0510695257615913,65.0,0.8475101143544526,32.0,0.2696611618398571,10.0,0.5001513009790616,29.0,1.0265599638832372,7.0,0.0122252346135835,41.0,4.067926502652966
