locality,property_type,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_population_density,lat,lon,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km,post_month,post_day_of_month,post_weekday,post_is_weekend,post_age_days,locality_listing_count,location_cluster_20,location_cluster_50,location_cluster_100,price_per_m2,property_type_area_m2,property_type_road_width_m,property_type_width_m,property_type_length_m,property_type_num_floors,property_type_distance_to_center_km,property_type_locality_population_density
phường tân sơn hòa,1,3.0,4.0,10.0,4.8,15.0,3990000000.0,72.0,1,1,1,1,24.485,10.7971454,106.6646052,4.557522107814423,0.121901450034046,142.0,0.372705061912835,75.0,0.3350057555399626,22.0,0.3298346011531585,36.0,1.3075347650339313,6.0,0.0442449261389241,36.0,4.652140728918879,2.0,6,9,1,0,11,85,cluster_13,cluster_16,cluster_12,55416666.666666664,72.0,10.0,4.8,15.0,3.0,4.557522107814423,24.485
phường an đông,1,2.0,4.0,8.0,5.0,13.5,7300000000.0,69.0,1,1,1,1,61.537,10.7549797,106.6715062,4.026724431346135,0.3348518767934108,185.0,0.1206216999491234,82.0,0.3535785015118317,47.0,0.3702015098094646,64.0,0.3730010744757793,12.0,0.1300514843720099,91.0,3.382741978802192,3.0,6,9,1,0,11,53,cluster_2,cluster_10,cluster_3,105797101.44927536,69.0,8.0,5.0,13.5,2.0,4.026724431346135,61.537
phường hòa bình,1,3.0,5.0,6.0,4.0,15.5,6130000000.0,62.0,1,1,1,1,70.733,10.7669741,106.6419475,6.540488853472936,0.1718143894222034,191.0,0.9541079269963604,72.0,0.3139787976532066,42.0,1.2813304185728671,32.0,2.0323726675555256,4.0,0.0360656132285069,44.0,2.789766515743807,0.0,6,9,1,0,11,10,cluster_2,cluster_26,cluster_96,98870967.74193548,62.0,6.0,4.0,15.5,3.0,6.540488853472936,70.733
phường bình thạnh,1,2.0,3.0,6.0,4.0,17.0,4490000000.0,68.0,0,0,0,0,38.042,10.8045369,106.6985299,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,7.0,6,9,1,0,11,100,cluster_1,cluster_0,cluster_67,66029411.76470588,68.0,6.0,4.0,17.0,2.0,3.067975386545508,38.042
phường an khánh,1,3.0,5.0,25.0,5.0,18.0,56000000000.0,250.0,0,0,0,0,5.021,10.8006036,106.7319048,4.28628517533598,0.5430295033161631,59.0,0.7572913850350793,20.0,0.4476952435649097,11.0,0.1593040851421719,32.0,0.1509150708276662,4.0,0.0,36.0,0.191421204297892,10.0,6,8,0,0,12,84,cluster_12,cluster_14,cluster_48,224000000.0,250.0,25.0,5.0,18.0,3.0,4.28628517533598,5.021
phường cát lái,1,1.0,1.0,20.0,15.0,20.0,45750000000.0,305.0,0,0,0,0,3.494,10.7698786,106.7746914,8.107863130958895,0.6000846300525993,21.0,1.524086996049615,5.0,0.4037055825764102,6.0,0.4111098762258814,7.0,2.259969133675176,1.0,0.1253466986572062,12.0,4.775883638944245,1.0,6,8,0,0,12,12,cluster_12,cluster_47,cluster_33,150000000.0,305.0,20.0,15.0,20.0,1.0,8.107863130958895,3.494
phường bình phú,1,1.0,2.0,10.0,4.4,9.0,5500000000.0,30.0,0,0,0,0,26.64,10.7454169,106.6349712,8.007807626554728,0.2330602650150937,0.0,0.1310703771974542,48.0,0.3671071400546797,35.0,0.5313275732101227,15.0,1.4759221011621504,3.0,0.1355369683452391,37.0,2.789766515743807,0.0,6,8,0,0,12,25,cluster_16,cluster_25,cluster_83,183333333.33333334,30.0,10.0,4.4,9.0,1.0,8.007807626554728,26.64
phường xóm chiếu,1,8.0,10.0,20.0,4.0,25.0,43000000000.0,100.0,0,0,0,0,29.832,10.7663363,106.7055309,1.2735307702675205,0.1406136249362628,119.0,0.2808952950299065,80.0,0.3171644773806937,27.0,0.3141160316927794,84.0,0.7967440893228558,17.0,0.0150291938624215,64.0,0.979780462139088,6.0,6,6,5,1,14,7,cluster_11,cluster_43,cluster_35,430000000.0,100.0,20.0,4.0,25.0,8.0,1.2735307702675205,29.832
phường bình thới,1,3.0,31.0,3.0,18.0,20.0,45000000000.0,390.0,0,1,1,1,44.393,10.765209,106.647683,5.962326713697463,0.4383242321264722,201.0,0.501321871546248,76.0,0.1201895316799122,47.0,0.8517077468866106,33.0,1.4737363108523944,5.0,0.0833264569863577,72.0,2.789766515743807,0.0,6,5,4,0,15,11,cluster_2,cluster_26,cluster_96,115384615.38461539,390.0,3.0,18.0,20.0,3.0,5.962326713697463,44.393
xã bình hưng,1,1.0,1.0,20.0,9.39,18.0,13800000000.0,333.0,0,0,0,0,5.665,10.7216682,106.6612949,7.48932886994524,0.6448315462720459,43.0,0.2380804425885271,37.0,2.021535451378851,9.0,1.92248837215138,5.0,1.961152241436052,3.0,0.1549795339773221,18.0,2.789766515743807,0.0,6,5,4,0,15,17,cluster_16,cluster_37,cluster_51,41441441.44144144,333.0,20.0,9.39,18.0,1.0,7.48932886994524,5.665
phường bình thạnh,1,3.0,5.0,35.0,12.0,70.0,150000000000.0,820.0,0,0,0,0,38.042,10.8045369,106.6985299,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,7.0,6,4,3,0,16,100,cluster_1,cluster_0,cluster_67,182926829.2682927,820.0,35.0,12.0,70.0,3.0,3.067975386545508,38.042
phường an hội tây,1,3.0,8.0,12.0,5.0,30.0,17500000000.0,165.0,1,1,1,1,31.76,10.8533575,106.6503032,10.106378930036408,0.352938255959884,60.0,2.2960741624167174,9.0,1.4267129839212858,4.0,0.4319609580415191,9.0,3.5898742968906325,0.0,0.4141954568032266,27.0,2.789766515743807,0.0,6,3,2,0,17,69,cluster_17,cluster_24,cluster_27,106060606.06060606,165.0,12.0,5.0,30.0,3.0,10.106378930036408,31.76
