locality,region,locality_square,locality_population,locality_population_density
phường bình tiên,hồ chí minh,"1,61",91.52,56.845
phường bình trị đông,hồ chí minh,"7,15",165.142,23.097
phường bình trưng,hồ chí minh,"14,82",121.382,8.19
phường bồ đề,hà nội,"12,94",120.028,9.276
phường cát lái,hồ chí minh,"19,65",68.654,3.494
phường cầu giấy,hà nội,"3,74",74.516,19.924
phường cầu kiệu,hồ chí minh,"1,23",62.663,50.946
phường cầu ông lãnh,hồ chí minh,"1,60",78.734,49.209
phường chánh hiệp,hồ chí minh,"19,66",56.387,2.868
phường chánh hưng,hồ chí minh,"4,61",190.707,41.368
phường chánh phú hòa,hồ chí minh,"69,54",53.916,775.0
phường chợ lớn,hồ chí minh,"1,67",85.066,50.938
phường chợ quán,hồ chí minh,"1,28",63.545,49.645
phường chương mỹ,hà nội,"38,92",87.913,2.259
phường cửa nam,hà nội,"1,68",52.751,31.399
phường dĩ an,hồ chí minh,"21,36",227.817,10.666
phường diên hồng,hồ chí minh,"1,86",75.633,40.663
phường dương nội,hà nội,"7,90",56.091,7.1
phường đại mỗ,hà nội,"8,10",80.462,9.934
phường định công,hà nội,"5,34",85.502,16.012
phường đống đa,hà nội,"2,07",81.358,39.303
phường đông hòa,hồ chí minh,"21,89",132.056,6.033
phường đông hưng thuận,hồ chí minh,"8,26",182.895,22.142
phường đông ngạc,hà nội,"8,85",83.544,9.44
phường đức nhuận,hồ chí minh,"2,17",71.495,32.947
phường gia định,hồ chí minh,"2,76",125.946,45.633
phường giảng võ,hà nội,"2,60",97.034,37.321
phường gò vấp,hồ chí minh,"2,81",110.85,39.448
phường hà đông,hà nội,"9,00",185.205,20.578
phường hai bà trưng,hà nội,"2,65",87.801,33.132
phường hạnh thông,hồ chí minh,"3,37",128.865,38.239
phường hiệp bình,hồ chí minh,"16,01",215.638,13.469
phường hòa bình,hồ chí minh,"0,98",69.318,70.733
phường hòa hưng,hồ chí minh,"2,59",96.414,37.225
phường hòa lợi,hồ chí minh,"33,59",79.694,2.373
phường hoàn kiếm,hà nội,"1,91",105.301,55.131
phường hoàng liệt,hà nội,"4,04",55.82,13.817
phường hoàng mai,hà nội,"9,04",98.502,10.896
phường hồng hà,hà nội,"15,09",123.282,8.17
phường khánh hội,hồ chí minh,"1,07",94.507,88.324
phường khương đình,hà nội,"3,10",86.286,27.834
phường kiến hưng,hà nội,"6,65",70.833,10.652
phường kim liên,hà nội,"2,45",109.107,44.533
phường lái thiêu,hồ chí minh,"15,46",118.852,7.688
phường láng,hà nội,"1,88",61.135,32.519
phường lĩnh nam,hà nội,"10,86",20.706,1.907
phường linh xuân,hồ chí minh,"12,29",158.334,12.883
phường long biên,hà nội,"19,04",62.887,3.303
phường long bình,hồ chí minh,"29,43",119.637,4.065
phường long hương,hồ chí minh,"41,22",31.457,763.0
phường long nguyên,hồ chí minh,"108,00",53.387,494.0
phường long phước,hồ chí minh,"34,29",53.092,1.548
phường long trường,hồ chí minh,"24,49",73.669,3.008
phường minh phụng,hồ chí minh,"1,27",90.808,71.502
phường nghĩa đô,hà nội,"4,34",125.568,28.933
phường ngọc hà,hà nội,"2,67",93.536,35.032
phường nhiêu lộc,hồ chí minh,"1,71",88.09,51.515
phường ô chợ dừa,hà nội,"1,89",71.293,37.721
phường phú an,hồ chí minh,"35,19",46.931,1.334
phường phú diễn,hà nội,"6,29",74.603,11.861
phường phú định,hồ chí minh,"5,85",150.389,25.708
phường phú lâm,hồ chí minh,"2,00",87.513,43.757
phường phú lợi,hồ chí minh,"17,96",107.721,5.998
phường phú lương,hà nội,"9,40",52.024,5.534
phường phú mỹ,hồ chí minh,"70,92",78.641,1.109
phường phú nhuận,hồ chí minh,"1,46",68.42,46.863
phường phú thạnh,hồ chí minh,"2,99",103.78,34.709
phường phú thọ,hồ chí minh,"1,37",65.369,47.715
phường phú thọ hòa,hồ chí minh,"3,02",140.436,46.502
phường phú thuận,hồ chí minh,"10,55",84.089,7.971
phường phú thượng,hà nội,"7,20",39.322,5.461
phường phúc lợi,hà nội,"10,41",66.79,6.416
phường phước long,hồ chí minh,"9,23",137.331,14.879
phường phước thắng,hồ chí minh,"47,35",52.589,1.111
phường phương liệt,hà nội,"3,20",81.977,25.618
phường rạch dừa,hồ chí minh,"19,70",76.281,3.872
phường sài gòn,hồ chí minh,"3,04",47.022,15.468
phường sơn tây,hà nội,"23,08",71.301,3.089
phường tam bình,hồ chí minh,"10,71",153.414,14.324
phường tam long,hồ chí minh,"34,70",41.13,1.185
phường tam thắng,hồ chí minh,"11,76",86.42,7.349
phường tăng nhơn phú,hồ chí minh,"16,51",208.233,12.613
phường tân bình,hồ chí minh,"2,12",89.373,42.157
phường tân định,hồ chí minh,"1,23",48.524,39.45
phường tân đông hiệp,hồ chí minh,"21,45",100.243,4.673
phường tân hải,hồ chí minh,"51,86",30.297,584.0
phường tân hiệp,hồ chí minh,"47,06",142.494,3.028
phường tân hòa,hồ chí minh,"1,47",93.437,63.563
phường tân hưng,hồ chí minh,"8,54",153.674,17.995
phường tân khánh,hồ chí minh,"38,27",126.393,3.303
phường tân mỹ,hồ chí minh,"6,45",68.124,10.562
phường tân phú,hồ chí minh,"2,52",93.117,36.951
phường tân phước,hồ chí minh,"83,62",29.363,351.0
phường tân sơn,hồ chí minh,"10,12",77.229,7.631
phường tân sơn hòa,hồ chí minh,"2,62",64.15,24.485
phường tân sơn nhất,hồ chí minh,"3,19",84.639,26.533
phường tân sơn nhì,hồ chí minh,"3,46",117.277,33.895
phường tân tạo,hồ chí minh,"14,71",113.363,7.707
phường tân thành,hồ chí minh,"61,63",33.943,551.0
phường tân thới hiệp,hồ chí minh,"8,06",168.06,20.851
phường tân thuận,hồ chí minh,"10,16",148.09,14.576
phường tân uyên,hồ chí minh,"87,61",73.032,834.0
phường tây hồ,hà nội,"10,72",100.122,9.34
phường tây mỗ,hà nội,"5,56",46.894,8.434
phường tây nam,hồ chí minh,"119,80",56.784,474.0
phường tây thạnh,hồ chí minh,"3,95",72.616,18.384
phường tây tựu,hà nội,"7,54",39.436,5.23
phường thanh liệt,hà nội,"6,44",76.238,11.838
phường thạnh mỹ tây,hồ chí minh,"4,40",153.216,34.822
phường thanh xuân,hà nội,"3,24",106.316,32.814
phường thông tây hội,hồ chí minh,"3,24",121.192,37.405
phường thới an,hồ chí minh,"14,90",125.657,8.433
phường thới hòa,hồ chí minh,"37,93",79.601,2.099
phường thủ dầu một,hồ chí minh,"15,68",88.132,5.621
phường thủ đức,hồ chí minh,"8,81",118.952,13.502
phường thuận an,hồ chí minh,"16,11",64.689,4.015
phường thuận giao,hồ chí minh,"16,81",150.781,8.97
phường thượng cát,hà nội,"14,77",24.692,1.672
phường trung mỹ tây,hồ chí minh,"6,93",126.47,18.25
phường tùng thiện,hà nội,"32,34",42.052,1.3
phường từ liêm,hà nội,"10,18",119.997,11.788
phường tương mai,hà nội,"3,56",136.292,38.284
phường văn miếu - quốc tử giám,hà nội,"1,92",105.604,55.002
phường việt hưng,hà nội,"12,91",83.188,6.444
phường vĩnh hội,hồ chí minh,"1,17",63.015,53.859
phường vĩnh hưng,hà nội,"4,47",67.561,15.114
phường vĩnh tân,hồ chí minh,"61,35",61.865,1.008
phường vĩnh tuy,hà nội,"2,33",90.583,38.877
phường vũng tàu,hồ chí minh,"16,86",117.413,6.964
phường vườn lài,hồ chí minh,"1,28",104.076,81.309
phường xóm chiếu,hồ chí minh,"1,94",57.875,29.832
phường xuân đỉnh,hà nội,"5,46",48.658,8.912
phường xuân hòa,hồ chí minh,"2,22",48.464,21.831
phường xuân phương,hà nội,"10,81",104.947,9.708
phường yên hòa,hà nội,"4,10",77.029,18.788
phường yên nghĩa,hà nội,"13,18",49.643,3.767
phường yên sở,hà nội,"5,61",40.913,7.293
