link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density
https://alonhadat.com.vn/-hang-ngop-quan-12-dt-150m2-vuong-vuc-chi-nhinh-7t--18814363.html,❌HÀNG NGỘP QUẬN 12 - DT 150M2 VUÔNG VỨC - CHỈ NHỈNH 7T💸💸,2026-06-20,đường thạnh xuân 25,"Đường Thạnh Xuân 25, Phường Thới An, Quận 12, Hồ Chí Minh (cũ)",phường thới an,hồ chí minh,18814363,unknown,can_ban,nha_mat_tien,unknown,1.0,,7.0,,,7100000000.0,150.0,0,0,0,0,0,"14,90",8.433
https://alonhadat.com.vn/ban-gap-nha-mt-tran-thi-he-dt-5x22m-gia-7-1-ty-tl-18312813.html,"Bán gấp nhà MT Trần Thị Hè, DT: 5x22m, giá 6.9 tỷ tl",2026-06-20,đường trần thị hè,"Đường Trần Thị Hè, Phường Hiệp Thành, Quận 12, Hồ Chí Minh (cũ)",phường tân thới hiệp,hồ chí minh,18312813,unknown,can_ban,nha_mat_tien,unknown,,3.0,15.0,5.0,22.0,6900000000.0,102.0,0,0,0,0,0,"8,06",20.851
https://alonhadat.com.vn/ban-nha-mat-tien-nguyen-thi-bup-dt-4x26m-gan-nga-tu-gia-8-9-ty-17899817.html,"Bán nhà Mặt tiền Nguyễn Thị Búp, DT: 4x26m, gần ngã tư giá 8.9 tỷ",2026-06-20,đường nguyễn thị búp,"Đường Nguyễn Thị Búp, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh (cũ)",phường trung mỹ tây,hồ chí minh,17899817,unknown,can_ban,nha_mat_tien,unknown,,2.0,20.0,4.0,26.0,8900000000.0,104.0,0,0,0,0,0,"6,93",18.250
https://alonhadat.com.vn/ban-nha-mat-tien-dien-bien-phu-13x19-gia-120-ty-khu-pm-17048292.html,Bán nhà mặt tiền Điện Biên Phủ 13x20 giá 100 tỷ khu PM,2026-06-20,đường điện biên phủ,"Đường Điện Biên Phủ, Phường 4, Quận 3, Hồ Chí Minh (cũ)",phường xuân hòa,hồ chí minh,17048292,tay_bac,can_ban,nha_mat_tien,so_hong_so_do,1.0,3.0,30.0,13.0,20.0,100000000000.0,241.0,0,0,0,0,0,"2,22",21.831
https://alonhadat.com.vn/khong-con-can-tot-hon-mat-tien-ly-thai-to-ngang-5-5x20-6-lau-chi-33-ty-16902688.html,Không còn căn tốt hơn mặt tiền Lý Thái Tổ ngang 5.5x20 6 lầu chỉ 47  tỷ,2026-06-20,đường lý thái tổ,"Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh (cũ)",phường vườn lài,hồ chí minh,16902688,tay_bac,can_ban,nha_mat_tien,so_hong_so_do,6.0,10.0,30.0,5.5,20.0,47000000000.0,100.0,0,0,0,0,0,"1,28",81.309
https://alonhadat.com.vn/khuon-dat-xay-toa-nha-ngang-30m-con-sot-lai-vi-tri-vang-trung-tam-q5-16805128.html,Khuôn đất xây tòa nhà ngang 30m còn sót lại vị trí vàng trung tâm Q5,2026-06-20,đường lý thường kiệt,"Đường Lý Thường Kiệt, Phường 12, Quận 5, Hồ Chí Minh (cũ)",phường chợ lớn,hồ chí minh,16805128,dong_nam,can_ban,nha_mat_tien,so_hong_so_do,1.0,5.0,25.0,30.0,15.0,230000000000.0,424.0,0,0,0,0,0,"1,67",50.938
https://alonhadat.com.vn/chi-con-sot-lai-duy-nhat-1-can-mat-tien-le-thi-hong-gam-60-ty-ngang-4-2x20-16848470.html,Chỉ còn sót lại duy nhất 1 căn mặt tiền Lê Thị Hồng Gấm 60 tỷ ngang 4.2x20,2026-06-20,đường lê thị hồng gấm,"Đường Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh (cũ)",phường sài gòn,hồ chí minh,16848470,dong_nam,can_ban,nha_mat_tien,so_hong_so_do,5.0,7.0,20.0,4.2,20.0,60000000000.0,77.0,0,0,0,0,0,"3,04",15.468
https://alonhadat.com.vn/ban-toa-nha-2-mat-tien-nguyen-trai-q1-co-be-ngang-15x29-2-ham-10-lau-16684673.html,Bán Tòa nhà 2 mặt Tiền Nguyễn Trãi Q1 có bề ngang 15x29 2 hầm 10 lầu,2026-06-20,đường nguyễn trãi,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh (cũ)",phường cầu ông lãnh,hồ chí minh,16684673,bac,can_ban,nha_mat_tien,so_hong_so_do,10.0,8.0,20.0,15.0,29.0,450000000000.0,386.0,0,0,0,0,0,"1,60",49.209
https://alonhadat.com.vn/toa-nha-mat-tien-trung-tam-q1-ngang-8-3x20-ham-8-lau-170-ty-18798115.html,Tòa nhà mặt tiền trung tâm Q1 ngang 8.3x20 Hầm 8 lầu 170 tỷ,2026-06-20,đường trần đình xu,"Đường Trần Đình Xu, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh (cũ)",phường cầu ông lãnh,hồ chí minh,18798115,tay_nam,can_ban,nha_mat_tien,so_hong_so_do,8.0,40.0,20.0,8.3,20.0,170000000000.0,170.0,0,0,0,0,0,"1,60",49.209
https://alonhadat.com.vn/toa-nha-2-mat-tien-ly-thuong-kiet-doi-dien-phu-tho-dt-6x23-ham-8-lau-hd-180t-gia-68-ty-18793162.html,Tòa nhà 2 mặt tiền Lý Thường Kiệt đối diện Phú Thọ DT: 6x23 Hầm 8 lầu hđ 180t Giá : 68 tỷ,2026-06-20,đường lý thường kiệt,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh (cũ)",phường diên hồng,hồ chí minh,18793162,tay,can_ban,nha_mat_tien,so_hong_so_do,8.0,24.0,30.0,6.0,23.0,68000000000.0,132.0,0,0,0,0,0,"1,86",40.663
