link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density,lat,lon,matched_address,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km
https://alonhadat.com.vn/ban-nha-mt-bui-dinh-tuy-p-26-q-binh-thanh-dt-5x22m-4-tang-gia-18-5-ty-16656233.html,"BÁN NHÀ BÙI ĐÌNH TUÝ P.26 DT 5mx22m, 4 tầng, giá 14.9 tỷ Q BÌNH THẠNH",2026-06-10,đường bùi đình túy,"Đường Bùi Đình Túy, Phường 26, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình thạnh,hồ chí minh,16656233,unknown,can_ban,nha_mat_tien,unknown,4.0,8.0,15.0,6.055300708194984,18.16590212458495,14900000000.0,110.0,0,0,0,0,0,"3,32",38.042,10.8111809,106.7033938,"phường bình thạnh, hồ chí minh, Vietnam",3.8017162728700273,0.3183148772046095,101.0,1.079901323762298,36.0,0.8769307135301863,16.0,0.0681104411068104,46.0,2.6953239778907294,3.0,0.0255766729188187,47.0,2.1339688866851096,7.0
https://alonhadat.com.vn/no-bank-can-ban-nha-mt-hoang-hoa-tham-phuong-7-binh-thanh-dt-8x20-gia-45-ty-17935580.html,"Nợ bank cần bán nhà MT Hoàng Hoa Thám, Phường 7, Bình Thạnh. DT: 8x20 giá 45 tỷ",2026-06-10,đường hoàng hoa thám,"Đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường gia định,hồ chí minh,17935580,unknown,can_ban,nha_mat_tien,so_hong_so_do,2.0,5.0,15.0,7.187952884282608,21.563858652847824,32000000000.0,155.0,0,0,0,0,0,"2,76",45.633,10.8078013,106.6914576,"đường hoàng hoa thám, phường gia định, hồ chí minh, Vietnam",3.5706757820599533,0.430245323172635,119.0,0.4382962050094762,49.0,0.5164011136863673,15.0,0.4057033527291865,58.0,2.316537611571925,5.0,0.2215246604316377,46.0,2.9333481320658805,6.0
https://alonhadat.com.vn/ban-nha-goc-2-mat-tien-le-van-duyet-binh-thanh-6x16m-5-tang-hdt-100-trieu-18000226.html,"Bán nhà góc 2 mặt tiền Lê Văn Duyệt, Bình thạnh - 6x16m - 5 tầng - HDT: 100 triệu",2026-06-10,đường lê văn duyệt,"Đường Lê Văn Duyệt, Phường 3, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường gia định,hồ chí minh,18000226,unknown,can_ban,nha_mat_tien,so_hong_so_do,5.0,7.0,15.0,5.163977794943222,15.491933384829668,36000000000.0,80.0,0,0,0,0,0,"2,76",45.633,10.7973977,106.6953649,"đường lê văn duyệt, phường gia định, hồ chí minh, Vietnam",2.346735279356983,0.0727444103980166,130.0,0.1670651494304294,59.0,0.563671580617831,20.0,0.1789346357801568,75.0,2.2174111422781486,11.0,0.0884218511842536,38.0,2.207625374628704,6.0
https://alonhadat.com.vn/goc-2mt-phan-dang-luu-binh-thanh-16x45m-3-tang-hdt-300-trieu-gia-180-ty-17953999.html,"Góc 2MT Phan Đăng Lưu, Bình Thạnh - 16x45m - 3 tầng - HĐT 300 triệu - giá 180 tỷ",2026-06-10,đường phan đăng lưu,"Đường Phan Đăng Lưu, Phường 6, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình lợi trung,hồ chí minh,17953999,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,6.0,15.0,15.491933384829668,46.475800154489,180000000000.0,720.0,0,0,0,0,0,"3,89",29.851,10.8026588,106.6957607,"đường phan đăng lưu, hồ chí minh, Vietnam",2.904170804800293,0.0691289109689762,130.0,0.1445941186951344,50.0,0.3513150197837566,16.0,0.3676143151877772,60.0,2.792844049480154,1.0,0.0232465191701605,40.0,2.2795329308265964,6.0
https://alonhadat.com.vn/ban-biet-thu-hado-centrosa-p-12-quan-10-dt-5-5-16m-kc-4-tang-gia-chi-51-ty-18769435.html,"Bán biệt thự HADO CENTROSA, P,12, Quận 10. DT: 5.5*16M, KC: 4 tầng. Giá chỉ: 51 tỷ",2026-06-10,đường 3/2,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh (cũ)",phường hòa hưng,hồ chí minh,18769435,unknown,can_ban,nha_mat_tien,so_hong_so_do,4.0,4.0,10.0,5.5,16.0,51000000000.0,88.0,0,0,0,0,0,"2,59",37.225,10.7584681,106.6832126,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh, Vietnam",2.810528696978863,0.2254260912054419,183.0,0.3484700437096293,87.0,0.3269002154348162,47.0,0.2939993610611568,93.0,0.6542757907602624,21.0,0.0495583751230959,72.0,2.116697545478862,3.0
https://alonhadat.com.vn/goc-2-mat-tien-pham-van-dong-go-vap-41x35m-no-hau-hd-thue-250-trieu-gia-240-ty-18773819.html,"Góc 2 mặt tiền Phạm Văn Đồng (Gò Vấp), 41x35m, nở hậu, HĐ thuê 250 triệu, giá 240 tỷ",2026-06-10,đường phạm văn đồng,"Đường Phạm Văn Đồng, Phường 1, Quận Gò Vấp, Hồ Chí Minh (cũ)",phường hạnh thông,hồ chí minh,18773819,unknown,can_ban,nha_mat_tien,giay_to_hop_le,1.0,2.0,60.0,41.0,35.0,240000000000.0,1380.0,0,0,0,0,0,"3,37",38.239,10.8183828,106.6866804,"đường phạm văn đồng, phường hạnh thông, hồ chí minh, Vietnam",4.844897245825004,0.1446252794333038,75.0,0.6418370847925045,35.0,0.5696396859678009,10.0,0.8944871952221576,31.0,1.061857611424201,7.0,0.1514562078101606,41.0,4.004567351819027,3.0
https://alonhadat.com.vn/mat-tien-hong-ha-vip-p2-10-2x21m-3-tang-gia-tl-15206400.html,"Bán Nhà Mặt Tiền Hồng Hà Phường 2 Tân Bình, Gần Sân Bay, 10.2X21M,3 TẦNG,5X TỶ",2026-06-10,đường hồng hà,"Đường Hồng Hà, Phường 2, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn hòa,hồ chí minh,15206400,unknown,can_ban,nha_mat_tien,unknown,3.0,5.0,30.0,10.2,21.0,58000000000.0,220.0,1,1,1,1,0,"2,62",24.485,10.8124799,106.6646444,"đường hồng hà, phường tân sơn hòa, hồ chí minh, Vietnam",5.586613919254435,0.226956575250719,99.0,1.1281419956884975,44.0,1.8906087565304883,12.0,1.529666862039232,21.0,0.1309239741353559,9.0,0.2035749914161559,20.0,5.0,0.0
https://alonhadat.com.vn/ban-nha-mat-tien-p13-tan-binh-hoang-hoa-tham-5-5x22m-2x-ty-16244012.html,"BÁN NHÀ MẶT TIỀN P13 TÂN BÌNH,HOÀNG HOA THÁM, 5.5X22M, 2X TỶ",2026-06-10,đường hoàng hoa thám,"Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân bình,hồ chí minh,16244012,unknown,can_ban,nha_mat_tien,unknown,3.0,4.0,20.0,5.5,22.0,29999000000.0,110.0,1,1,1,1,0,"2,12",42.157,10.7983563,106.6463241,"đường hoàng hoa thám, phường tân bình, hồ chí minh, Vietnam",6.4232480821112174,0.2630116487217966,131.0,0.546995096737269,49.0,0.0447465857250088,21.0,1.195024347818329,21.0,0.7797317274616953,4.0,0.1908999184323034,43.0,5.0,0.0
https://alonhadat.com.vn/ban-nha-mat-tien-p13-tan-binh-hoang-hoa-tham-cong-hoa-180m-2x-ty-16244132.html,"BÁN NHÀ MẶT TIỀN P13 TÂN BÌNH,HOÀNG HOA THÁM,CỘNG HÒA, 180M,2X TỶ",2026-06-10,đường hoàng hoa thám,"Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân bình,hồ chí minh,16244132,unknown,can_ban,nha_mat_tien,unknown,2.0,3.0,20.0,5.5,32.0,29800000000.0,180.0,1,1,0,1,0,"2,12",42.157,10.7983563,106.6463241,"đường hoàng hoa thám, phường tân bình, hồ chí minh, Vietnam",6.4232480821112174,0.2630116487217966,131.0,0.546995096737269,49.0,0.0447465857250088,21.0,1.195024347818329,21.0,0.7797317274616953,4.0,0.1908999184323034,43.0,5.0,0.0
https://alonhadat.com.vn/ban-chdv-mat-tien-kinh-doanh-phuong-tan-son-nhi-tan-phu-8x16m-40-phong-thu-2-7-ty-nam-16665915.html,"Bán CHDV Mặt Tiền Kinh Doanh Phường Tân Sơn Nhì Tân Phú, 8x16m, 40 Phòng, Thu 2.7 tỷ. Năm",2026-06-10,đường tân sơn nhì,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh (cũ)",phường tân sơn nhì,hồ chí minh,16665915,unknown,can_ban,nha_mat_tien,unknown,5.0,40.0,30.0,8.0,16.0,32499000000.000004,130.0,1,1,1,1,0,"3,46",33.895,10.7994465,106.6317527,"đường tân sơn nhì, phường tân sơn nhì, hồ chí minh, Vietnam",7.962906097890229,0.2680312245988887,89.0,1.077973098294951,24.0,0.6748268350093294,15.0,0.5342187744615536,19.0,1.642934800464962,3.0,0.4226215899315095,47.0,5.0,0.0
