training_scope,target,model,rank,source_feature,importance,importance_normalized,signed_effect,encoded_feature_count,importance_type
global,price_vnd,catboost,23,school_count_3km,0.8151561986876511,0.008151561986876497,,1,model_feature_importance
global,price_vnd,catboost,24,property_type_distance_to_center_km,0.7315254211921837,0.007315254211921824,,1,model_feature_importance
global,price_vnd,catboost,25,hospital_count_5km,0.710497253353823,0.007104972533538217,,1,model_feature_importance
global,price_vnd,catboost,26,post_day_of_month,0.7052302694078507,0.007052302694078495,,1,model_feature_importance
global,price_vnd,catboost,27,nearest_mall_km,0.7018592500699563,0.007018592500699551,,1,model_feature_importance
global,price_vnd,catboost,28,property_type_locality_population_density,0.6971191249589838,0.006971191249589826,,1,model_feature_importance
global,price_vnd,catboost,29,nearest_hospital_km,0.6848911343738464,0.006848911343738453,,1,model_feature_importance
global,price_vnd,catboost,30,nearest_school_km,0.6809715326014727,0.006809715326014715,,1,model_feature_importance
global,price_vnd,catboost,31,locality_cv_target_count,0.6408358897686673,0.006408358897686662,,1,model_feature_importance
global,price_vnd,catboost,32,nearest_metro_km,0.6326126263175416,0.006326126263175405,,1,model_feature_importance
global,price_vnd,catboost,33,post_weekday,0.5877207011494383,0.005877207011494373,,1,model_feature_importance
global,price_vnd,catboost,34,locality,0.5790369897563019,0.005790369897563009,,91,model_feature_importance
global,price_vnd,catboost,35,dining_room_bin,0.5342278608069023,0.005342278608069014,,1,model_feature_importance
global,price_vnd,catboost,36,locality_listing_count,0.5339179842080851,0.005339179842080842,,1,model_feature_importance
global,price_vnd,catboost,37,lat,0.5072220212057003,0.005072220212056994,,1,model_feature_importance
global,price_vnd,catboost,38,location_cluster_50,0.4404422797444736,0.004404422797444728,,49,model_feature_importance
global,price_vnd,catboost,39,location_cluster_100,0.4276469093606745,0.004276469093606738,,95,model_feature_importance
global,price_vnd,catboost,40,mall_count_3km,0.4128169468891175,0.004128169468891168,,1,model_feature_importance
global,price_vnd,catboost,41,marketplace_count_3km,0.32758050739172634,0.003275805073917258,,1,model_feature_importance
global,price_vnd,catboost,42,kitchen_bin,0.2933812813485874,0.0029338128134858686,,1,model_feature_importance
global,price_vnd,catboost,43,car_parking_bin,0.29057215882283116,0.0029057215882283068,,1,model_feature_importance
global,price_vnd,catboost,44,location_cluster_20,0.26265526663502126,0.002626552666350208,,20,model_feature_importance
global,price_vnd,catboost,45,terrace_bin,0.252433711424321,0.0025243371142432054,,1,model_feature_importance
global,price_vnd,catboost,46,post_month,0.0984017522135477,0.0009840175221354753,,1,model_feature_importance
global,price_vnd,catboost,47,property_type,0.043231270296183046,0.0004323127029618297,,1,model_feature_importance
global,price_vnd,catboost,48,post_is_weekend,0.020072179176066386,0.00020072179176066352,,1,model_feature_importance
global,price_vnd,lightgbm,1,area_m2,3290.0,0.12185185185185185,,1,model_feature_importance
global,price_vnd,lightgbm,2,locality_cv_target_median,1609.0,0.05959259259259259,,1,model_feature_importance
global,price_vnd,lightgbm,3,width_m,1438.0,0.053259259259259256,,1,model_feature_importance
global,price_vnd,lightgbm,4,num_floors,1314.0,0.048666666666666664,,1,model_feature_importance
global,price_vnd,lightgbm,5,road_width_m,1266.0,0.04688888888888889,,1,model_feature_importance
global,price_vnd,lightgbm,6,length_m,1123.0,0.04159259259259259,,1,model_feature_importance
global,price_vnd,lightgbm,7,num_bedrooms,943.0,0.03492592592592592,,1,model_feature_importance
global,price_vnd,lightgbm,8,property_type_area_m2,865.0,0.03203703703703704,,1,model_feature_importance
global,price_vnd,lightgbm,9,distance_to_center_km,794.0,0.029407407407407406,,1,model_feature_importance
global,price_vnd,lightgbm,10,locality,784.0,0.02903703703703704,,91,model_feature_importance
global,price_vnd,lightgbm,11,lon,691.0,0.025592592592592594,,1,model_feature_importance
global,price_vnd,lightgbm,12,locality_population_density,690.0,0.025555555555555557,,1,model_feature_importance
global,price_vnd,lightgbm,13,nearest_marketplace_km,673.0,0.024925925925925924,,1,model_feature_importance
global,price_vnd,lightgbm,14,nearest_supermarket_km,667.0,0.024703703703703703,,1,model_feature_importance
global,price_vnd,lightgbm,15,nearest_hospital_km,630.0,0.023333333333333334,,1,model_feature_importance
global,price_vnd,lightgbm,16,supermarket_count_3km,586.0,0.021703703703703704,,1,model_feature_importance
global,price_vnd,lightgbm,17,nearest_mall_km,543.0,0.02011111111111111,,1,model_feature_importance
global,price_vnd,lightgbm,18,nearest_school_km,518.0,0.019185185185185184,,1,model_feature_importance
global,price_vnd,lightgbm,19,locality_listing_count,517.0,0.019148148148148147,,1,model_feature_importance
global,price_vnd,lightgbm,20,nearest_bus_stop_km,478.0,0.017703703703703704,,1,model_feature_importance
global,price_vnd,lightgbm,21,property_type_length_m,466.0,0.01725925925925926,,1,model_feature_importance
global,price_vnd,lightgbm,22,post_age_days,435.0,0.01611111111111111,,1,model_feature_importance
global,price_vnd,lightgbm,23,locality_cv_target_count,434.0,0.016074074074074074,,1,model_feature_importance
global,price_vnd,lightgbm,24,hospital_count_5km,429.0,0.01588888888888889,,1,model_feature_importance
global,price_vnd,lightgbm,25,bus_stop_count_1km,414.0,0.015333333333333332,,1,model_feature_importance
global,price_vnd,lightgbm,26,school_count_3km,407.0,0.015074074074074075,,1,model_feature_importance
global,price_vnd,lightgbm,27,lat,400.0,0.014814814814814815,,1,model_feature_importance
global,price_vnd,lightgbm,28,property_type_road_width_m,373.0,0.013814814814814814,,1,model_feature_importance
global,price_vnd,lightgbm,29,location_cluster_50,371.0,0.01374074074074074,,49,model_feature_importance
global,price_vnd,lightgbm,30,location_cluster_100,356.0,0.013185185185185185,,95,model_feature_importance
global,price_vnd,lightgbm,31,property_type_width_m,342.0,0.012666666666666666,,1,model_feature_importance
global,price_vnd,lightgbm,32,post_day_of_month,340.0,0.012592592592592593,,1,model_feature_importance
global,price_vnd,lightgbm,33,property_type_distance_to_center_km,324.0,0.012,,1,model_feature_importance
global,price_vnd,lightgbm,34,mall_count_3km,321.0,0.011888888888888888,,1,model_feature_importance
global,price_vnd,lightgbm,35,post_weekday,312.0,0.011555555555555555,,1,model_feature_importance
