locality,region,locality_square,locality_population_density,Dân số năm 2024/2025 (người)
phường linh xuân,hồ chí minh,"12,29",12.883,158.334
phường long biên,hà nội,"19,04",3.303,62.887
phường long bình,hồ chí minh,"29,43",4.065,119.637
phường long hương,hồ chí minh,"41,22",763,31.457
phường long nguyên,hồ chí minh,"108,00",494,53.387
phường long phước,hồ chí minh,"34,29",1.548,53.092
phường long trường,hồ chí minh,"24,49",3.008,73.669
phường minh phụng,hồ chí minh,"1,27",71.502,90.808
phường nghĩa đô,hà nội,"4,34",28.933,125.568
phường ngọc hà,hà nội,"2,67",35.032,93.536
phường nhiêu lộc,hồ chí minh,"1,71",51.515,88.090
phường ô chợ dừa,hà nội,"1,89",37.721,71.293
phường phú an,hồ chí minh,"35,19",1.334,46.931
phường phú diễn,hà nội,"6,29",11.861,74.603
phường phú định,hồ chí minh,"5,85",25.708,150.389
phường phú lâm,hồ chí minh,"2,00",43.757,87.513
phường phú lợi,hồ chí minh,"17,96",5.998,107.721
phường phú lương,hà nội,"9,40",5.534,52.024
phường phú mỹ,hồ chí minh,"70,92",1.109,78.641
phường phú nhuận,hồ chí minh,"1,46",46.863,68.420
phường phú thạnh,hồ chí minh,"2,99",34.709,103.780
phường phú thọ,hồ chí minh,"1,37",47.715,65.369
phường phú thọ hòa,hồ chí minh,"3,02",46.502,140.436
phường phú thuận,hồ chí minh,"10,55",7.971,84.089
phường phú thượng,hà nội,"7,20",5.461,39.322
phường phúc lợi,hà nội,"10,41",6.416,66.790
phường phước long,hồ chí minh,"9,23",14.879,137.331
phường phước thắng,hồ chí minh,"47,35",1.111,52.589
phường phương liệt,hà nội,"3,20",25.618,81.977
phường rạch dừa,hồ chí minh,"19,70",3.872,76.281
phường sài gòn,hồ chí minh,"3,04",15.468,47.022
phường sơn tây,hà nội,"23,08",3.089,71.301
phường tam bình,hồ chí minh,"10,71",14.324,153.414
phường tam long,hồ chí minh,"34,70",1.185,41.130
phường tam thắng,hồ chí minh,"11,76",7.349,86.420
phường tăng nhơn phú,hồ chí minh,"16,51",12.613,208.233
phường tân bình,hồ chí minh,"2,12",42.157,89.373
phường tân định,hồ chí minh,"1,23",39.450,48.524
phường tân đông hiệp,hồ chí minh,"21,45",4.673,100.243
phường tân hải,hồ chí minh,"51,86",584,30.297
phường tân hiệp,hồ chí minh,"47,06",3.028,142.494
phường tân hòa,hồ chí minh,"1,47",63.563,93.437
phường tân hưng,hồ chí minh,"8,54",17.995,153.674
phường tân khánh,hồ chí minh,"38,27",3.303,126.393
phường tân mỹ,hồ chí minh,"6,45",10.562,68.124
phường tân phú,hồ chí minh,"2,52",36.951,93.117
phường tân phước,hồ chí minh,"83,62",351,29.363
phường tân sơn,hồ chí minh,"10,12",7.631,77.229
phường tân sơn hòa,hồ chí minh,"2,62",24.485,64.150
phường tân sơn nhất,hồ chí minh,"3,19",26.533,84.639
