,direction,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km,post_day_year,post_day_month,post_day_day
1145,unknown,0,so_hong_so_do,1.0,4.0,3.0,4.041451884327381,12.12435565298214,49.0,0,0,0,0,0,2.76,45.633,2.001320260505127,0.4666605199515122,103.0,0.8962772162667362,51.0,0.4694878817137624,19.0,0.3183635932345142,67.0,2.274044093012692,10.0,0.1903343157969,46.0,1.2457155931751454,7.0,2026,6,10
1146,unknown,0,so_hong_so_do,3.0,5.0,3.0,3.958114029012639,11.874342087037917,47.0,0,0,0,0,0,4.4,34.822,2.7461906492172004,0.2075550555115764,91.0,1.70970816112182,41.0,0.9312159650516396,13.0,0.5653492177103633,54.0,2.28906535554699,4.0,0.1273770496206738,49.0,0.4749117064656268,8.0,2026,6,10
1147,unknown,0,so_hong_so_do,1.0,2.0,8.0,5.0,20.0,95.0,0,0,0,0,0,3.89,29.851,4.67249028399383,0.2687498708198765,71.0,1.7812162680460155,30.0,0.2045543549561523,10.0,0.3320748180496796,32.0,2.154401492049144,3.0,0.0909328641901695,35.0,2.8425737899136387,6.0,2026,6,10
1148,unknown,0,so_hong_so_do,2.0,4.0,10.0,4.5,16.0,70.0,1,1,1,1,0,8.06,20.851,13.658757622635342,0.4516740124284655,28.0,1.160096395120746,3.0,0.9363619003598704,6.0,1.0498780413213606,7.0,,0.0,0.385136473714219,16.0,,0.0,2026,6,10
1149,unknown,0,so_hong_so_do,4.0,32.0,7.0,7.32,23.0,177.0,0,0,0,0,0,7.15,23.097,9.892822029961808,0.4520471688073907,68.0,1.193498187126926,13.0,0.5509956067163161,16.0,0.5319108492346198,26.0,1.7216657558116704,1.0,0.051597329100088,37.0,,0.0,2026,6,10
1150,unknown,0,so_hong_so_do,3.0,4.0,5.0,6.055300708194984,18.16590212458495,110.0,1,1,1,1,0,2.17,32.947,4.071024484849459,0.2863551380653265,126.0,0.9594740108423676,54.0,0.2557060182205364,16.0,0.3004546537583896,50.0,1.5661612231982194,9.0,0.0996256618437394,35.0,4.233608911588102,5.0,2026,6,10
1151,unknown,0,so_hong_so_do,5.0,4.0,4.0,4.0,14.0,56.0,1,1,1,0,0,3.02,46.502,9.206179957183256,0.3526893065433714,82.0,1.2277832688729544,13.0,0.6818465520399315,12.0,0.2647696411694635,27.0,0.7492007895967437,1.0,0.1538704137977213,52.0,,0.0,2026,6,10
1152,unknown,0,so_hong_so_do,2.0,2.0,3.0,3.6,12.0,42.0,0,0,0,0,0,10.55,7.971,6.284093168201712,0.4145124707565347,45.0,0.4937413041681406,16.0,0.3764609646590278,3.0,0.5631477465227696,13.0,1.5333213491050663,2.0,0.151544042250975,22.0,,0.0,2026,6,10
1153,unknown,0,so_hong_so_do,2.0,7.0,3.0,4.0,16.0,60.0,0,0,0,0,0,10.16,14.576,4.823753459895158,0.166848523859009,55.0,0.2015496398327853,23.0,1.1976410812624183,8.0,0.5433721235224563,19.0,0.5385525460242521,3.0,0.190851819751642,22.0,4.553410564180918,3.0,2026,6,10
1154,unknown,0,so_hong_so_do,6.0,7.0,4.0,5.0,9.0,45.0,1,1,1,1,0,3.89,29.851,3.875665058077383,0.2150524809914895,114.0,0.5990580542890834,46.0,0.0354768764161222,15.0,0.8713793297227685,51.0,1.9624358212805149,7.0,0.2635229618685973,37.0,3.4292685986216656,5.0,2026,6,10
1155,unknown,0,so_hong_so_do,1.0,2.0,5.0,6.8,12.0,83.0,0,0,0,0,0,4.4,34.822,3.2780824543388385,0.3361760848828976,77.0,2.051791574401379,34.0,0.5647708444376871,11.0,0.6553638140396603,48.0,1.9153686262075424,4.0,0.0093486046253062,44.0,0.7314882932421559,8.0,2026,6,10
1156,unknown,0,so_hong_so_do,3.0,5.0,6.0,6.5,15.0,97.0,0,0,0,0,0,2.12,42.157,7.29424943415701,0.3447268818628318,102.0,0.3250749183893413,29.0,0.1438672618220386,17.0,0.7804517820090893,17.0,1.5416164954839746,3.0,0.1406715188134071,46.0,,0.0,2026,6,10
1157,unknown,0,so_hong_so_do,2.0,4.0,4.0,6.15,12.0,66.0,0,0,0,0,0,3.89,29.851,4.67249028399383,0.2687498708198765,71.0,1.7812162680460155,30.0,0.2045543549561523,10.0,0.3320748180496796,32.0,2.154401492049144,3.0,0.0909328641901695,35.0,2.8425737899136387,6.0,2026,6,10
1158,unknown,0,so_hong_so_do,5.0,5.0,7.0,7.5,7.5,58.0,1,1,1,1,0,1.23,50.946,2.44074910241188,0.0989473603816921,142.0,0.6077150908310768,62.0,0.6173297645718273,20.0,0.3290326866051206,74.0,2.0832634559367755,11.0,0.5346105379488431,35.0,2.4962462509231447,6.0,2026,6,10
1159,unknown,0,so_hong_so_do,3.0,5.0,4.0,6.6,14.0,93.0,1,1,1,1,0,3.81,31.76,9.547221231938796,0.3365617484093036,63.0,2.0840737464034222,10.0,0.1028751461258366,8.0,0.0933191980995687,10.0,3.4139046476325507,0.0,0.1092834749783106,24.0,,0.0,2026,6,10
1160,unknown,0,so_hong_so_do,5.0,4.0,4.0,4.0,18.0,72.0,1,1,1,1,0,3.24,37.405,9.768333841582272,0.1157914390670293,62.0,2.286844519260672,10.0,0.3188662161381582,8.0,0.2394915872667279,10.0,3.627993202623984,0.0,0.1667729618397612,24.0,,0.0,2026,6,10
1161,unknown,0,so_hong_so_do,1.0,2.0,3.0,4.5,8.88888888888889,40.0,0,0,0,0,0,12.29,12.883,13.10140474139864,0.0074065943804957,51.0,0.403137054592563,11.0,1.230188845609918,5.0,1.1050938515101631,7.0,1.8682214470970493,2.0,0.095686838126819,35.0,0.6049188847589712,5.0,2026,6,10
1162,unknown,0,so_hong_so_do,6.0,4.0,4.0,3.3,9.0,30.0,0,0,0,0,0,1.71,51.515,2.555122100836077,0.2298394187696702,205.0,0.4407018928712138,85.0,0.3518938209246376,47.0,0.2930037730618011,108.0,0.8330653769317901,16.0,0.1440798145827994,55.0,2.5315941085926017,4.0,2026,6,10
1163,unknown,0,unknown,4.0,4.0,8.0,7.4,7.4,52.0,1,1,1,1,0,1.71,51.515,2.829036298051577,0.0492632985194052,184.0,0.3577525471125211,84.0,0.3123186160351813,37.0,0.034764753465501,81.0,1.3607308020103004,12.0,0.0273806513602741,48.0,2.918029052645817,4.0,2026,6,10
1164,unknown,0,unknown,4.0,4.0,8.0,4.0,25.6,100.0,1,1,1,1,0,2.12,42.157,32.73024799248876,0.4800900072813918,5.0,4.4845363613594165,2.0,0.941972746731735,2.0,,0.0,3.8181403719301046,0.0,0.8441691967817977,4.0,,0.0,2026,6,10
1165,unknown,0,unknown,4.0,3.0,16.0,5.0,24.0,118.0,1,1,1,1,0,2.12,42.157,7.29424943415701,0.3447268818628318,102.0,0.3250749183893413,29.0,0.1438672618220386,17.0,0.7804517820090893,17.0,1.5416164954839746,3.0,0.1406715188134071,46.0,,0.0,2026,6,10
1166,unknown,0,so_hong_so_do,6.0,8.0,6.0,4.0,18.0,72.0,0,0,0,0,0,3.89,29.851,4.830279547129328,0.4546188265738125,68.0,2.09692714628374,25.0,0.3925950736002273,10.0,0.2625190817205464,31.0,1.755268654940006,3.0,0.3091537925683889,27.0,2.800769620458555,6.0,2026,6,10
1167,unknown,0,so_hong_so_do,2.0,3.0,3.0,2.23606797749979,6.7082039324993685,15.0,0,0,0,0,0,1.23,50.946,2.9889395741888465,0.1033923012665627,155.0,0.5576084376482038,79.0,0.2518487114095648,23.0,0.5086314028753111,64.0,2.1383076201119806,6.0,0.1645347193061215,42.0,3.2036662782280367,5.0,2026,6,10
1168,unknown,0,so_hong_so_do,1.0,1.0,8.0,5.6,25.5,138.0,0,0,0,0,0,2.12,42.157,7.5441086273688125,0.4539069627331325,93.0,0.6020589165713851,26.0,0.3379657310177452,15.0,0.4837019764697036,17.0,1.7334644577840184,3.0,0.0608024061290015,36.0,,0.0,2026,6,10
1169,unknown,0,so_hong_so_do,5.0,6.0,5.0,4.2,29.0,80.0,1,1,1,1,0,2.81,39.448,7.356174009357199,0.9742322159648223,62.0,1.1107349702267069,15.0,0.3770940894015037,4.0,0.9337575152561616,6.0,0.784822475505938,7.0,0.0639190442719784,44.0,,0.0,2026,6,10
1170,unknown,0,unknown,2.0,2.0,2.0,4.0,12.5,50.0,0,0,0,0,0,3.02,46.502,7.491990724545586,0.5437001786480844,138.0,1.043868170816649,45.0,0.7408236185827164,27.0,0.4174937262587679,30.0,2.7826861671501675,1.0,0.2677999609885199,43.0,,0.0,2026,6,10
