property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km
1,1,3.0,4.0,6.0,4.0,14.0,3290000000.0,56.0,0,0,1,1,1.27,71.502,4.900812964372645,0.1332499124197248,216.0,0.4897450459678438,78.0,0.3167636023806358,56.0,0.3748269937301162,34.0,0.8098316786329234,9.0,0.1345209311638022,69.0,4.396130561461806
1,1,5.0,4.0,7.0,4.0,16.0,3900000000.0,64.0,0,0,0,0,1.67,50.938,5.211147240599507,0.0448837526808615,192.0,0.1352890741280146,76.0,0.3130113778004277,51.0,0.4491916881533389,30.0,0.4629546328544709,9.0,0.050319660745991,68.0,4.607163360677046
1,1,2.0,4.0,5.0,5.5,13.0,4360000000.0,71.0,0,0,0,0,1.27,71.502,6.347405962345484,0.2897405349640682,193.0,0.4641694033834687,67.0,0.534930568813806,44.0,0.8095463326053062,28.0,0.9979682168216238,5.0,0.0696003370800699,70.0,5.088364417881627
1,1,3.0,4.0,5.0,4.3,15.0,6890000000.0,65.0,0,0,0,0,1.86,40.663,4.177717404417766,0.1321456498930087,217.0,0.6222421286803709,83.0,0.0770050538488039,55.0,0.1406451216433702,58.0,0.7120967895816094,8.0,0.1383351558074551,65.0,3.732512409760755
1,1,3.0,3.0,6.0,4.5,13.0,5940000000.0,59.0,0,0,0,0,2.22,21.831,1.3842360927551391,0.1362858508209465,177.0,0.392725688709276,81.0,0.8309996539468081,44.0,0.306041499917031,114.0,0.4875412983036777,17.0,0.0903504268932904,90.0,1.56192760975934
1,1,5.0,4.0,7.0,5.0,10.0,3930000000.0,50.0,0,0,0,0,1.23,50.946,2.44074910241188,0.0989473603816921,142.0,0.6077150908310768,62.0,0.6173297645718273,20.0,0.3290326866051206,74.0,2.0832634559367755,11.0,0.5346105379488431,35.0,2.4962462509231447
1,1,4.0,5.0,6.0,4.5,11.0,3670000000.0,61.0,0,0,0,0,1.67,50.938,6.077058645332947,0.2294300757931321,185.0,0.9952754727271408,68.0,0.3113409291917248,43.0,0.919397073400981,25.0,0.5028735528918428,5.0,0.0862327276241671,72.0,5.088364417881627
1,1,4.0,4.0,6.0,4.8,13.0,4360000000.0,62.0,0,0,0,0,1.28,81.309,3.2419722128438297,0.3010820874778004,222.0,0.2811142836074399,87.0,0.2622385558569263,54.0,0.3931772678968423,92.0,0.3926340325942063,11.0,0.1032738006671135,74.0,2.789766515743807
1,1,5.0,7.0,7.0,4.5,16.0,6670000000.0,72.0,0,0,0,0,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747
1,1,3.0,5.0,12.0,5.0,18.0,5810000000.0,90.0,1,1,1,1,15.33,5.021,3.808504175625029,0.6561629916851701,62.0,0.9356213880345662,21.0,0.452628431051221,11.0,0.7671058558033097,31.0,0.7439168201610871,5.0,0.1672563295946353,34.0,0.6992062452147358
1,1,3.0,4.0,10.0,4.8,15.0,3990000000.0,72.0,1,1,1,1,2.62,24.485,4.557522107814423,0.121901450034046,142.0,0.372705061912835,75.0,0.3350057555399626,22.0,0.3298346011531585,36.0,1.3075347650339313,6.0,0.0442449261389241,36.0,4.652140728918879
1,1,5.0,4.0,5.0,4.0,16.0,55000000000.0,64.0,1,1,1,1,1.85,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422
1,1,2.0,4.0,8.0,5.0,13.5,7300000000.0,69.0,1,1,1,1,1.32,61.537,4.026724431346135,0.3348518767934108,185.0,0.1206216999491234,82.0,0.3535785015118317,47.0,0.3702015098094646,64.0,0.3730010744757793,12.0,0.1300514843720099,91.0,3.382741978802192
1,1,3.0,5.0,6.0,4.0,15.5,6130000000.0,62.0,1,1,1,1,0.98,70.733,6.540488853472936,0.1718143894222034,191.0,0.9541079269963604,72.0,0.3139787976532066,42.0,1.2813304185728671,32.0,2.0323726675555256,4.0,0.0360656132285069,44.0,5.088364417881627
1,1,2.0,3.0,6.0,4.0,17.0,4490000000.0,68.0,0,0,0,0,3.32,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067
