model,lr,depth,n_est,alpha,lambda,mape,subsample,iterations
xgb,0.02,7,1000.0,,,19.941724716500925,0.7,
xgb,0.03,10,1200.0,,,19.944234601656504,0.9,
xgb,0.02,6,1800.0,,,19.947395742826473,0.8,
xgb,0.04,6,1200.0,,,19.94775774126466,0.9,
xgb,0.05,6,1000.0,,,19.949058320253165,0.8,
xgb,0.03,10,1000.0,,,19.951243511232185,0.9,
xgb,0.04,6,1200.0,,,19.954571457996455,0.8,
xgb,0.06,9,1500.0,,,19.956904529894352,0.8,
xgb,0.06,9,1800.0,,,19.961851289582345,0.8,
xgb,0.06,9,1200.0,,,19.962961564651557,0.8,
xgb,0.03,6,1000.0,,,19.96535877170715,0.8,
xgb,0.06,9,1000.0,,,19.966204784732415,0.8,
catboost,0.07,10,,,,19.970319169855415,,1800.0
catboost,0.07,10,,,,19.970319169855415,,1000.0
catboost,0.07,10,,,,19.970319169855415,,1500.0
catboost,0.07,10,,,,19.970319169855415,,1200.0
xgb,0.05,9,1500.0,,,19.971304762158212,0.8,
xgb,0.05,9,1200.0,,,19.973122446058706,0.8,
xgb,0.05,6,1800.0,,,19.973657687108258,0.9,
xgb,0.05,9,1800.0,,,19.97374034923466,0.8,
xgb,0.05,9,1000.0,,,19.98047045529413,0.8,
xgb,0.02,7,1000.0,,,19.985067040137462,0.8,
xgb,0.04,10,1800.0,,,19.987998453088366,0.8,
xgb,0.04,10,1500.0,,,19.98813481458677,0.8,
xgb,0.06,6,1800.0,,,19.988170444396737,0.7,
xgb,0.03,6,1000.0,,,19.989422586802252,0.9,
xgb,0.04,6,1000.0,,,19.989425193622054,0.9,
xgb,0.04,6,1200.0,,,19.9909224224449,0.7,
xgb,0.04,10,1200.0,,,19.99097670914528,0.8,
xgb,0.04,10,1000.0,,,19.992709100078166,0.8,
xgb,0.06,6,1500.0,,,19.9984569413506,0.7,
xgb,0.05,6,1500.0,,,20.005357553064005,0.9,
catboost,0.03,9,,,,20.00659091429374,,1500.0
catboost,0.03,10,,,,20.007545059123984,,1000.0
xgb,0.02,7,1200.0,,,20.01851678394962,0.9,
xgb,0.06,6,1000.0,,,20.02700521007036,0.7,
catboost,0.05,8,,,,20.03011397299625,,1500.0
catboost,0.05,8,,,,20.03011397299625,,1200.0
catboost,0.05,8,,,,20.03011397299625,,1800.0
xgb,0.06,6,1200.0,,,20.031019272521206,0.7,
xgb,0.02,6,1500.0,,,20.033216610397155,0.8,
catboost,0.05,7,,,,20.037292943280363,,1800.0
xgb,0.05,6,1200.0,,,20.04030794277412,0.9,
catboost,0.06,7,,,,20.045490891402405,,1800.0
catboost,0.06,7,,,,20.045490891402405,,1500.0
lgbm,0.07,10,1200.0,0.2,2.0,20.045848018981047,,
lgbm,0.07,10,1200.0,0.05,2.0,20.04584801898562,,
lgbm,0.07,10,1200.0,0.1,2.0,20.045848019008673,,
lgbm,0.07,10,1200.0,0.15,2.0,20.04584801912669,,
catboost,0.05,7,,,,20.047351862959854,,1500.0
xgb,0.02,6,1800.0,,,20.052023696764987,0.9,
lgbm,0.07,10,1500.0,0.2,2.0,20.05479997094254,,
lgbm,0.07,10,1500.0,0.05,2.0,20.05479997105878,,
lgbm,0.07,10,1500.0,0.1,2.0,20.054799971073567,,
lgbm,0.07,10,1500.0,0.15,2.0,20.054799971193066,,
catboost,0.03,8,,,,20.054822010196087,,1800.0
catboost,0.04,9,,,,20.0551871511817,,1000.0
xgb,0.04,6,1000.0,,,20.056643791830233,0.8,
lgbm,0.07,10,1000.0,0.05,2.0,20.05738789759554,,
lgbm,0.07,10,1000.0,0.15,2.0,20.05738789768305,,
lgbm,0.07,10,1000.0,0.1,2.0,20.05738789768364,,
lgbm,0.07,10,1000.0,0.2,2.0,20.0573878977115,,
catboost,0.04,8,,,,20.06776197291545,,1200.0
xgb,0.02,6,1200.0,,,20.079360204571366,0.7,
xgb,0.05,10,1000.0,,,20.081693656377027,0.7,
xgb,0.05,10,1200.0,,,20.082761817703418,0.7,
xgb,0.05,10,1800.0,,,20.08347213087277,0.7,
xgb,0.05,10,1500.0,,,20.084600429536913,0.7,
xgb,0.04,6,1000.0,,,20.090607693691727,0.7,
xgb,0.05,6,1000.0,,,20.0939891947058,0.9,
xgb,0.06,10,1500.0,,,20.09970278365132,0.9,
xgb,0.06,10,1000.0,,,20.100042229064204,0.9,
xgb,0.06,10,1200.0,,,20.100536966804075,0.9,
xgb,0.06,10,1800.0,,,20.10294042654773,0.9,
lgbm,0.06,9,1000.0,0.15,2.0,20.107986088890307,,
lgbm,0.06,9,1000.0,0.05,2.0,20.107986088907843,,
lgbm,0.06,9,1000.0,0.2,2.0,20.10798608891029,,
lgbm,0.06,9,1000.0,0.1,2.0,20.1079860889855,,
lgbm,0.07,10,800.0,0.05,2.0,20.109798647511024,,
lgbm,0.07,10,800.0,0.1,2.0,20.109798647598513,,
lgbm,0.07,10,800.0,0.15,2.0,20.109798647673603,,
lgbm,0.07,10,800.0,0.2,2.0,20.109798647706484,,
catboost,0.07,7,,,,20.111544710038846,,1200.0
catboost,0.07,7,,,,20.111544710038846,,1500.0
catboost,0.07,7,,,,20.111544710038846,,1800.0
xgb,0.05,10,1500.0,,,20.11334796643992,0.9,
