street,locality,region,old_address,lat,lon,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km
đường phan xích long,phường cầu kiệu,hồ chí minh,"Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh (cũ)",10.7968306,106.6913229,0.0989473603816921,142.0,0.6077150908310768,62.0,0.6173297645718273,20.0,0.3290326866051206,74.0,2.0832634559367755,11.0,0.5346105379488431,35.0,2.4962462509231447,6.0
đường triệu quang phục,phường chợ lớn,hồ chí minh,"Đường Triệu Quang Phục, Phường 12, Quận 5, Hồ Chí Minh (cũ)",10.7522989,106.6512192,0.2294300757931321,185.0,0.9952754727271408,68.0,0.3113409291917248,43.0,0.919397073400981,25.0,0.5028735528918428,5.0,0.0862327276241671,72.0,,0.0
đường lý thái tổ,phường vườn lài,hồ chí minh,"Đường Lý Thái Tổ, Phường 10, Quận 10, Hồ Chí Minh (cũ)",10.768525,106.6724938,0.3010820874778004,222.0,0.2811142836074399,87.0,0.2622385558569263,54.0,0.3931772678968423,92.0,0.3926340325942063,11.0,0.1032738006671135,74.0,2.789766515743807,3.0
đường lê đức thọ,phường an hội đông,hồ chí minh,"Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh (cũ)",10.8544854,106.661337,0.0506350961840065,59.0,1.988654967421979,9.0,0.5851174066101005,6.0,0.9285346601064232,7.0,3.024858762472106,1.0,0.1791539231086523,31.0,,0.0
đường lý nam đế,phường minh phụng,hồ chí minh,"Đường Lý Nam Đế, Phường Minh Phụng, Quận 11, Hồ Chí Minh (cũ)",10.7618427,106.6587582,0.1332499124197248,216.0,0.4897450459678438,78.0,0.3167636023806358,56.0,0.3748269937301162,34.0,0.8098316786329234,9.0,0.1345209311638022,69.0,4.396130561461806,2.0
đường hai bà trưng,phường xuân hòa,hồ chí minh,"Đường Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh (cũ)",10.7913777,106.6859365,0.2692862053339944,157.0,0.4272303860638807,80.0,0.4498726492118163,33.0,0.4727236156339341,96.0,1.545056961267051,14.0,0.1453706473294013,51.0,2.5048101852370164,5.0
đường phó cơ điều,phường minh phụng,hồ chí minh,"Đường Phó Cơ Điều, Phường 4, Quận 11, Hồ Chí Minh (cũ)",10.7566993,106.6465801,0.2897405349640682,193.0,0.4641694033834687,67.0,0.534930568813806,44.0,0.8095463326053062,28.0,0.9979682168216238,5.0,0.0696003370800699,70.0,,0.0
đường thành thái,phường diên hồng,hồ chí minh,"Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh (cũ)",10.7673031,106.6639559,0.1321456498930087,217.0,0.6222421286803709,83.0,0.0770050538488039,55.0,0.1406451216433702,58.0,0.7120967895816094,8.0,0.1383351558074551,65.0,3.732512409760755,3.0
đường nam kỳ khởi nghĩa,phường xuân hòa,hồ chí minh,"Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh (cũ)",10.7824046,106.6895335,0.1362858508209465,177.0,0.392725688709276,81.0,0.8309996539468081,44.0,0.306041499917031,114.0,0.4875412983036777,17.0,0.0903504268932904,90.0,1.56192760975934,5.0
đường hòa bình,phường hòa bình,hồ chí minh,"Đường Hòa Bình, Phường 5, Quận 11, Hồ Chí Minh (cũ)",10.7669741,106.6419475,0.1718143894222034,191.0,0.9541079269963604,72.0,0.3139787976532066,42.0,1.2813304185728671,32.0,2.0323726675555256,4.0,0.0360656132285069,44.0,,0.0
đường lê hữu kiều,phường cát lái,hồ chí minh,"Đường Lê Hữu Kiều, Phường Thạnh Mỹ Lợi, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",10.7698786,106.7746914,0.6000846300525993,21.0,1.524086996049615,5.0,0.4037055825764102,6.0,0.4111098762258814,7.0,2.259969133675176,1.0,0.1253466986572062,12.0,4.775883638944245,1.0
