,STT,Tên,Thuộc tỉnh/thành phố,Diện tích (km²),Dân số năm 2024 (người),Mật độ dân số (người/km²),Loại đô thị [ 2 ] (năm công nhận),Năm thành lập
167,168,Đông Hải,Hải Phòng,"57,65",50.748,880,II (2026),2025
168,169,Đông Hải,Khánh Hòa,"11,00",54.615,4.965,II (2026),2025
169,170,Đông Hòa,Đắk Lắk,"77,54",47.632,614,III (2026),2025
170,171,Đông Hòa,Thành phố Hồ Chí Minh,"21,89",132.056,6.033,II (2026),2025
171,172,Đông Hoa Lư,Ninh Bình,"25,62",34.414,1.343,III (2026),2025
172,173,Đồng Hới,Quảng Trị,"41,35",84.196,2.036,III (2026),2025
173,174,Đông Hưng Thuận,Thành phố Hồ Chí Minh,"8,26",182.895,22.142,II (2026),2025
174,175,Đông Kinh,Lạng Sơn,"54,71",50.436,922,III (2026),2025
175,176,Đông Mai,Quảng Ninh,"50,61",21.649,428,II (2026),2025
176,177,Đông Ngạc,Hà Nội,"8,85",83.544,9.440,II (2026),2025
177,178,Đồng Nguyên,Bắc Ninh,"12,64",46.023,3.641,II (2026),2025
178,179,Đông Ninh Hòa,Khánh Hòa,"134,17",43.484,324,III (2026),2025
179,180,Đông Quang,Thanh Hóa,"48,60",61.214,1.260,III (2026),2025
180,181,Đồng Phú,Đồng Nai,"138,66",45.557,329,,2026
181,182,Đồng Sơn,Quảng Trị,"88,03",32.396,368,III (2026),2025
182,183,Đông Sơn,Thanh Hóa,"41,71",58.950,1.413,III (2026),2025
183,184,Đông Thành,Vĩnh Long,"44,35",41.793,942,II (2026),2025
184,185,Đồng Thuận,Quảng Trị,"26,49",38.521,1.454,III (2026),2025
185,186,Đông Tiến,Thanh Hóa,"41,97",57.844,1.378,III (2026),2025
186,187,Đông Triều,Quảng Ninh,"40,42",43.712,1.081,II (2026),2025
187,188,Đồng Văn,Ninh Bình,"18,88",34.484,1.826,III (2026),2025
188,189,Đồng Xoài,Đồng Nai,"81,33",35.887,441,II (2026),2025
189,190,Đức Nhuận,Thành phố Hồ Chí Minh,"2,17",71.495,32.947,II (2026),2025
190,191,Đức Phổ,Quảng Ngãi,"69,33",41.358,597,III (2026),2025
191,192,Đức Xuân,Thái Nguyên,"34,46",22.660,658,II (2026),2025
192,193,Đường Hào,Hưng Yên,"25,62",39.028,1.523,III (2026),2025
193,194,Ea Kao,Đắk Lắk,"60,70",57.070,940,III (2026),2025
194,195,Gia Định,Thành phố Hồ Chí Minh,"2,76",125.946,45.633,II (2026),2025
195,196,Gia Lộc,Tây Ninh,"50,26",37.354,743,II (2026),2025
196,197,Giá Rai,Cà Mau,"104,60",71.149,680,III (2026),2025
197,198,Gia Sàng,Thái Nguyên,"25,47",44.094,1.731,III (2026),2025
198,199,Gia Viên,Hải Phòng,"5,01",102.246,20.408,II (2026),2025
199,200,Giảng Võ,Hà Nội,"2,60",97.034,37.321,II (2026),2025
200,201,Gò Công,Đồng Tháp,"10,06",36.124,3.591,II (2026),2025
201,202,Gò Dầu,Tây Ninh,"43,09",66.340,1.540,II (2026),2025
202,203,Gò Vấp,Thành phố Hồ Chí Minh,"2,81",110.850,39.448,II (2026),2025
203,204,Hà An,Quảng Ninh,"100,18",21.314,213,II (2026),2025
204,205,Hà Đông,Hà Nội,"9,00",185.205,20.578,III (2026),2025
205,206,Hà Giang 1,Tuyên Quang,"82,69",21.652,262,II (2026),2025
206,207,Hà Giang 2,Tuyên Quang,"60,62",33.100,546,II (2026),2025
207,208,Hà Huy Tập,Hà Tĩnh,"32,62",28.742,881,III (2026),2025
208,209,Hà Lầm,Quảng Ninh,"11,19",47.747,4.267,II (2026),2025
209,210,Hạ Long,Quảng Ninh,"6,08",52.905,8.701,II (2026),2025
210,211,Hà Nam,Ninh Bình,"29,98",33.343,1.112,III (2026),2025
211,212,Hà Tiên,An Giang,"61,36",40.609,662,II (2026),2025
212,213,Hà Tu,Quảng Ninh,"37,60",29.643,788,II (2026),2025
213,214,Hạc Thành,Thanh Hóa,"24,63",197.142,8.004,II (2026),2025
214,215,Hải An,Hải Phòng,"39,99",102.648,2.567,II (2026),2025
215,216,Hai Bà Trưng,Hà Nội,"2,65",87.801,33.132,II (2026),2025
216,217,Hải Bình,Thanh Hóa,"37,74",33.670,892,III (2026),2025
217,218,Hải Châu,Đà Nẵng,"7,58",131.427,17.339,II (2026),2025
218,219,Hải Dương,Hải Phòng,"6,51",51.522,7.914,II (2026),2025
219,220,Hải Lĩnh,Thanh Hóa,"41,18",18.330,445,III (2026),2025
220,221,Hải Ninh,Hà Tĩnh,"39,37",20.399,518,II (2026),2025
221,222,Hải Vân,Đà Nẵng,"406,09",48.992,121,III (2026),2025
222,223,Hàm Rồng,Thanh Hóa,"20,88",63.166,3.025,II (2026),2025
223,224,Hàm Thắng,Lâm Đồng,"44,90",54.544,1.215,III (2026),2025
224,225,Hàng Gòn,Đồng Nai,"45,60",24.931,547,II (2026),2025
225,226,Hạnh Thông,Thành phố Hồ Chí Minh,"3,37",128.865,38.239,II (2026),2025
226,227,Hạp Lĩnh,Bắc Ninh,"12,65",22.630,1.789,II (2026),2025
227,228,Hiệp Bình,Thành phố Hồ Chí Minh,"16,01",215.638,13.469,II (2026),2025
228,229,Hiệp Hòa,Quảng Ninh,"35,83",33.381,932,II (2026),2025
229,230,Hiệp Thành,Cà Mau,"134,24",38.370,286,III (2026),2025
230,231,Hòa Bình,Hải Phòng,"19,47",47.168,2.423,II (2026),2025
231,232,Hòa Bình,Thành phố Hồ Chí Minh,"0,98",69.318,70.733,II (2026),2025
232,233,Hòa Bình,Phú Thọ,"39,32",78.605,1.999,II (2026),2025
233,234,Hóa Châu,Huế,"34,60",41.328,1.194,III (2026),2025
234,235,Hòa Cường,Đà Nẵng,"15,72",119.363,7.593,II (2026),2025
235,236,Hòa Hiệp,Đắk Lắk,"40,81",53.597,1.313,III (2026),2025
236,237,Hòa Hưng,Thành phố Hồ Chí Minh,"2,59",96.414,37.225,II (2026),2025
237,238,Hòa Khánh,Đà Nẵng,"40,93",112.518,2.749,III (2026),2025
238,239,Hòa Lợi,Thành phố Hồ Chí Minh,"33,59",79.694,2.373,II (2026),2025
239,240,Hoa Lư,Ninh Bình,"53,72",148.406,2.763,III (2026),2025
240,241,Hòa Thành,Cà Mau,"97,29",47.167,485,III (2026),2025
241,242,Hòa Thành,Tây Ninh,"20,42",40.968,2.006,II (2026),2025
242,243,Hòa Thắng,Khánh Hòa,"78,59",26.822,341,III (2026),2025
243,244,Hòa Thuận,Vĩnh Long,"16,51",25.384,1.537,III (2026),2025
244,245,Hòa Xuân,Đà Nẵng,"27,96",85.580,3.061,III (2026),2025
245,246,Hoài Nhơn,Gia Lai,"40,32",43.167,1.071,III (2026),2025
246,247,Hoài Nhơn Bắc,Gia Lai,"89,45",44.581,498,III (2026),2025
247,248,Hoài Nhơn Đông,Gia Lai,"64,36",44.634,694,III (2026),2025
248,249,Hoài Nhơn Nam,Gia Lai,"37,67",32.707,868,III (2026),2025
249,250,Hoài Nhơn Tây,Gia Lai,"78,15",25.572,327,III (2026),2025
250,251,Hoàn Kiếm,Hà Nội,"1,91",105.301,55.131,II (2026),2025
251,252,Hoàng Liệt,Hà Nội,"4,04",55.820,13.817,III (2026),2025
252,253,Hoàng Mai,Hà Nội,"9,04",98.502,10.896,II (2026),2025
253,254,Hoàng Mai,Nghệ An,"79,67",44.474,558,III (2026),2025
254,255,Hoàng Quế,Quảng Ninh,"63,83",31.988,501,II (2026),2025
255,256,Hoành Bồ,Quảng Ninh,"175,94",28.534,162,III (2026),2025
256,257,Hoành Sơn,Hà Tĩnh,"70,48",21.004,298,II (2026),2025
257,258,Hố Nai,Đồng Nai,"22,85",78.902,3.453,III (2026),2025
258,259,Hội An,Đà Nẵng,"10,81",37.222,3.443,II (2026),2025
259,260,Hội An Đông,Đà Nẵng,"18,22",31.109,1.707,II (2026),2025
260,261,Hội An Tây,Đà Nẵng,"18,09",42.370,2.342,II (2026),2025
261,262,Hội Phú,Gia Lai,"34,86",46.358,1.330,II (2026),2025
262,263,Hồng An,Hải Phòng,"27,64",64.771,2.343,II (2026),2025
